Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent) << Offsets
IDENTIFIER, a, int, 3, 3, 0, 0
IDENTIFIER, b, int, 4, 3, 0, 4
IDENTIFIER, c, int, 21, 9, 0, 8
IDENTIFIER, d, int, 23, 10, 0, 12
identifier - method ofWhileandnested, main, void, 2, -1, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 3, 
, , , , , , 5, 3, 
, , , , , , 6, 3, 
, , , , , , 7, 3, 
, , , , , , 8, 3, 
, , , , , , 9, 3, 
, , , , , , 10, 9, 
, , , , , , 11, 10, 
