Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, args, String, 4, 3, 1, 0
identifier - method ofscopes, main, void, 4, -1, 0, 0
IDENTIFIER, x, int, 29, 3, 0, 0
IDENTIFIER, x, int, 5, 4, 0, 0
IDENTIFIER, x, int, 11, 6, 0, 0
IDENTIFIER, x, int, 17, 8, 0, 0
IDENTIFIER, x, int, 23, 10, 0, 0
IDENTIFIER, y, int, 30, 3, 0, 4
IDENTIFIER, y, int, 6, 4, 0, 4
IDENTIFIER, y, int, 12, 6, 0, 4
IDENTIFIER, y, int, 18, 8, 0, 4
IDENTIFIER, y, int, 24, 10, 0, 4
IDENTIFIER, z, int, 34, 3, 0, 8
IDENTIFIER, z, int, 10, 4, 0, 8
IDENTIFIER, z, int, 8, 5, 0, 8
IDENTIFIER, z, int, 16, 6, 0, 8
IDENTIFIER, z, int, 14, 7, 0, 8
IDENTIFIER, z, int, 22, 8, 0, 8
IDENTIFIER, z, int, 20, 9, 0, 8
IDENTIFIER, z, int, 28, 10, 0, 8
IDENTIFIER, z, int, 26, 11, 0, 8
IDENTIFIER, z, int, 32, 12, 0, 8
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 3, 
, , , , , , 5, 4, 
, , , , , , 6, 3, 
, , , , , , 7, 6, 
, , , , , , 8, 3, 
, , , , , , 9, 8, 
, , , , , , 10, 3, 
, , , , , , 11, 10, 
, , , , , , 12, 3, 
