Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, args, String, 18, 10, 1, 0
identifier - method ofPrimeExample2, checkPrime, void, 2, -1, 0, 0
identifier - method ofPrimeExample2, checkPrime, void, 2, 0, 0, 0
IDENTIFIER, flag, int, 3, 3, 0, 4
IDENTIFIER, i, int, 3, 3, 0, 0
identifier - method ofPrimeExample2, main, void, 18, -1, 0, 0
IDENTIFIER, n, int, 2, 3, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 3, 
, , , , , , 5, 3, 
, , , , , , 6, 5, 
, , , , , , 7, 6, 
, , , , , , 8, 7, 
, , , , , , 9, 5, 
, , , , , , 10, 2, 
