Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, args, String, 3, 3, 1, 0
IDENTIFIER, array, int, 5, 3, 1, 4
IDENTIFIER, i, int, 6, 4, 0, 4
IDENTIFIER, i, int, 8, 5, 0, 4
IDENTIFIER, i, int, 17, 10, 0, 4
IDENTIFIER, j, int, 9, 7, 0, 8
identifier - method ofBubbleSort, main, void, 3, -1, 0, 0
identifier - method ofBubbleSort, main, void, 3, 0, 0, 0
IDENTIFIER, n, int, 4, 3, 0, 0
IDENTIFIER, temp, int, 11, 9, 0, 12
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 3, 
, , , , , , 5, 3, 
, , , , , , 6, 5, 
, , , , , , 7, 6, 
, , , , , , 8, 7, 
, , , , , , 9, 8, 
, , , , , , 10, 3, 
, , , , , , 11, 10, 
