Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, args, String, 19, 9, 1, 0
IDENTIFIER, arr, int, 2, 3, 1, 0
IDENTIFIER, arr, int, 20, 9, 1, 0
identifier - method ofBinarySearchExample, binarySearch, void, 2, -1, 0, 0
identifier - method ofBinarySearchExample, binarySearch, void, 2, 0, 0, 0
IDENTIFIER, first, int, 2, 3, 0, 0
IDENTIFIER, i, int, 21, 10, 0, 40
IDENTIFIER, key, int, 2, 3, 0, 0
IDENTIFIER, key, int, 24, 9, 0, 40
IDENTIFIER, last, int, 2, 3, 0, 0
IDENTIFIER, last, int, 25, 9, 0, 44
identifier - method ofBinarySearchExample, main, void, 19, -1, 0, 0
IDENTIFIER, mid, int, 3, 3, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 3, 
, , , , , , 5, 4, 
, , , , , , 6, 4, 
, , , , , , 7, 4, 
, , , , , , 8, 3, 
, , , , , , 9, 2, 
, , , , , , 10, 9, 
, , , , , , 11, 10, 
